time_bin,congestion_state,congestion_binary,congestion_label,hf_A_retx_iperf,hf_A_retx_host,hf_A_lost_host,hf_A_loss,hf_B_rtt_iperf,hf_B_rtt_ping,hf_B_rttvar,hf_B_latency,hf_C_bw_iperf,hf_C_delivery_ss,hf_C_throughput
0,0,0,normal,0,0,0,0,0,0,0,0,0,0,0
1,0,0,normal,0,0,0,0,0,0,0,0,0,0,0
2,0,0,normal,0,0,0,0,0,0,0,0,0,0,0
3,0,0,normal,0,0,0,0,0,0,0,0,0,0,0
4,0,0,normal,0,0,0,0,0,0,0,0,0,0,0
5,0,0,normal,0,0,0,0,0,0,0,0,0,0,0
6,0,0,normal,0,0,0,0,0,0,0,0,0,1,1
7,0,0,normal,0,0,0,0,0,0,0,0,0,1,1
8,0,0,normal,0,0,0,0,0,0,0,0,0,1,1
9,0,0,normal,0,0,0,0,0,0,0,0,0,1,1
10,0,0,normal,0,0,0,0,0,0,0,0,0,1,1
11,0,0,normal,0,0,0,0,0,0,0,0,0,1,1
12,0,0,normal,0,0,0,0,0,0,0,0,0,1,1
13,0,0,normal,0,0,0,0,0,0,0,0,0,1,1
14,0,0,normal,0,0,0,0,0,0,0,0,0,1,1
15,0,0,normal,0,0,0,0,0,0,0,0,0,1,1
16,0,0,normal,0,0,0,0,0,0,0,0,0,1,1
17,0,0,normal,0,0,0,0,0,0,0,0,0,1,1
18,1,1,onset,0,0,0,0,0,1,1,1,0,0,1
19,1,1,onset,0,0,0,0,1,1,1,1,0,0,1
20,1,1,onset,0,0,0,0,1,1,1,1,0,0,1
21,2,1,congested,1,1,1,1,1,1,1,1,1,1,1
22,1,1,onset,0,0,0,0,1,0,1,1,0,0,1
23,0,0,normal,0,0,0,0,0,0,0,0,0,0,0
24,0,0,normal,0,0,0,0,0,0,1,0,0,0,1
25,0,0,normal,0,0,0,0,0,0,0,0,0,0,0
26,1,1,onset,0,0,0,0,1,1,1,1,0,0,1
27,2,1,congested,1,1,1,1,1,1,1,1,1,1,1
28,1,1,onset,0,0,0,0,1,1,1,1,0,0,1
29,1,1,onset,0,0,0,0,1,1,1,1,0,0,1
30,1,1,onset,0,0,0,0,1,1,1,1,0,0,1
31,1,1,onset,0,0,0,0,1,1,1,1,0,0,1
32,1,1,onset,0,0,0,0,1,1,1,1,0,0,1
33,1,1,onset,0,0,0,0,1,1,1,1,0,0,1
34,1,1,onset,0,0,0,0,1,0,1,1,0,0,1
35,1,1,onset,0,0,0,0,1,1,1,1,0,0,1
36,0,0,normal,0,0,0,0,1,1,0,1,0,0,0
37,1,1,onset,0,0,0,0,1,1,1,1,0,0,1
38,1,1,onset,0,0,0,0,1,1,1,1,0,0,1
39,1,1,onset,0,0,0,0,1,1,1,1,0,0,1
40,2,1,congested,1,1,1,1,1,1,1,1,1,1,1
41,0,0,normal,0,0,0,0,0,1,0,1,0,0,0
42,1,1,onset,0,0,0,0,1,1,1,1,0,0,1
43,1,1,onset,0,0,0,0,1,1,1,1,0,0,1
44,0,0,normal,0,0,0,0,1,1,0,1,0,0,0
45,2,1,congested,0,1,1,1,1,1,1,1,0,0,1
46,1,1,onset,0,0,0,0,1,1,1,1,0,0,1
47,0,0,normal,0,0,0,0,1,1,0,1,0,0,0
48,0,0,normal,0,0,0,0,1,1,0,1,0,0,0
49,1,1,onset,0,0,0,0,1,1,1,1,0,0,1
50,1,1,onset,0,0,0,0,1,1,1,1,0,0,1
51,2,1,congested,1,1,1,1,1,1,1,1,1,1,1
52,1,1,onset,0,0,0,0,1,1,1,1,0,0,1
53,2,1,congested,1,1,1,1,1,1,0,1,1,1,1
54,1,1,onset,0,0,0,0,1,1,1,1,0,0,1
55,2,1,congested,1,1,1,1,1,1,0,1,1,1,1
56,1,1,onset,0,0,0,0,1,1,1,1,0,0,1
57,2,1,congested,1,1,1,1,1,1,1,1,1,1,1
58,0,0,normal,0,0,0,0,1,1,0,1,0,0,0
59,1,1,onset,0,0,0,0,1,1,1,1,0,0,1
60,1,1,onset,0,0,0,0,1,1,1,1,0,0,1
61,2,1,congested,1,1,1,1,1,1,1,1,1,1,1
62,2,1,congested,1,1,1,1,1,1,1,1,1,1,1
63,2,1,congested,1,1,1,1,1,1,0,1,1,1,1
64,2,1,congested,1,1,1,1,1,1,1,1,1,1,1
65,2,1,congested,1,1,1,1,1,1,1,1,1,1,1
66,2,1,congested,1,1,1,1,1,1,1,1,1,1,1
67,2,1,congested,1,1,1,1,1,1,1,1,1,1,1
68,1,1,onset,0,0,0,0,1,1,1,1,0,0,1
69,2,1,congested,1,1,1,1,1,1,1,1,1,1,1
70,0,0,normal,0,0,0,0,1,1,0,1,0,0,0
71,1,1,onset,0,0,0,0,1,1,1,1,0,0,1
72,2,1,congested,1,1,1,1,1,1,1,1,1,1,1
73,2,1,congested,1,1,1,1,1,1,1,1,1,1,1
74,1,1,onset,0,0,0,0,1,1,1,1,0,0,1
75,0,0,normal,0,0,0,0,1,1,0,1,0,0,0
76,2,1,congested,1,1,1,1,1,1,1,1,1,1,1
77,2,1,congested,1,1,1,1,1,1,0,1,1,1,1
78,1,1,onset,0,0,0,0,0,1,1,1,0,0,1
79,2,1,congested,1,1,1,1,1,1,1,1,0,1,1
80,2,1,congested,1,1,1,1,1,1,1,1,1,1,1
81,0,0,normal,0,0,0,0,0,0,1,0,0,0,1
82,1,1,onset,0,0,0,0,1,1,1,1,0,0,1
83,1,1,onset,0,0,0,0,1,1,1,1,0,0,1
84,1,1,onset,0,0,0,0,1,1,1,1,0,0,1
85,2,1,congested,1,1,1,1,1,1,0,1,1,1,1
86,1,1,onset,0,0,0,0,1,1,1,1,0,0,1
87,1,1,onset,0,0,0,0,0,1,1,1,0,0,1
88,2,1,congested,0,1,1,1,1,1,1,1,0,0,1
89,2,1,congested,1,1,1,1,1,1,0,1,1,1,1
90,1,1,onset,0,0,0,0,1,1,1,1,0,0,1
91,1,1,onset,0,0,0,0,1,1,1,1,0,0,1
92,1,1,onset,0,0,0,0,1,1,1,1,0,0,1
93,1,1,onset,0,0,0,0,1,1,1,1,0,0,1
94,2,1,congested,1,1,1,1,1,1,1,1,1,1,1
95,2,1,congested,1,1,1,1,1,1,1,1,1,1,1
96,1,1,onset,0,0,0,0,1,1,1,1,0,0,1
97,2,1,congested,1,1,1,1,1,1,1,1,1,1,1
98,1,1,onset,0,0,0,0,1,1,1,1,0,0,1
99,2,1,congested,1,1,1,1,1,1,1,1,1,1,1
100,0,0,normal,0,0,0,0,0,0,0,0,0,0,0
101,0,0,normal,0,0,0,0,0,0,1,0,0,0,1
102,0,0,normal,0,0,0,0,0,0,0,0,0,0,0
103,0,0,normal,0,0,0,0,0,0,0,0,0,0,0
104,0,0,normal,0,0,0,0,0,0,0,0,0,0,0
105,0,0,normal,0,0,0,0,0,0,0,0,0,1,1
106,0,0,normal,0,0,0,0,0,0,0,0,0,1,1
107,0,0,normal,0,0,0,0,0,0,0,0,0,1,1
108,0,0,normal,0,0,0,0,0,0,0,0,0,1,1
109,0,0,normal,0,0,0,0,0,0,0,0,0,1,1
110,0,0,normal,0,0,0,0,0,0,0,0,0,1,1
111,0,0,normal,0,0,0,0,0,0,0,0,0,1,1
112,0,0,normal,0,0,0,0,0,0,0,0,0,1,1
113,0,0,normal,0,0,0,0,0,0,0,0,0,1,1
114,0,0,normal,0,0,0,0,0,0,0,0,0,1,1
115,0,0,normal,0,0,0,0,0,0,0,0,0,1,1
116,0,0,normal,0,0,0,0,0,0,0,0,0,1,1
117,0,0,normal,0,0,0,0,0,0,0,0,0,1,1
118,0,0,normal,0,0,0,0,0,0,0,0,0,1,1
119,0,0,normal,0,0,0,0,0,0,0,0,0,1,1
120,0,0,normal,0,0,0,0,0,0,0,0,0,1,1
121,0,0,normal,0,0,0,0,0,0,0,0,0,1,1
122,0,0,normal,0,0,0,0,0,0,0,0,0,1,1
123,0,0,normal,0,0,0,0,0,0,0,0,0,1,1
124,0,0,normal,0,0,0,0,0,0,0,0,0,1,1
125,0,0,normal,0,0,0,0,0,0,0,0,0,1,1
126,0,0,normal,0,0,0,0,0,0,0,0,0,0,0
127,0,0,normal,0,0,0,0,0,0,0,0,0,0,0
128,0,0,normal,0,0,0,0,0,0,0,0,0,1,1
129,0,0,normal,0,0,0,0,0,0,0,0,0,1,1
130,0,0,normal,0,0,0,0,0,0,0,0,0,1,1
131,0,0,normal,0,0,0,0,0,0,0,0,0,1,1
132,0,0,normal,0,0,0,0,0,0,1,0,0,0,1
133,0,0,normal,0,0,0,0,0,0,1,0,0,0,1
134,0,0,normal,0,0,0,0,0,0,1,0,0,0,1
135,1,1,onset,0,0,0,0,1,1,1,1,0,0,1
136,0,0,normal,0,0,0,0,1,1,0,1,0,0,0
137,1,1,onset,0,0,0,0,1,1,1,1,0,0,1
138,1,1,onset,0,0,0,0,1,1,1,1,0,0,1
139,1,1,onset,0,0,0,0,0,1,1,1,0,0,1
140,1,1,onset,0,0,0,0,1,1,1,1,0,0,1
141,1,1,onset,0,0,0,0,1,1,1,1,0,0,1
142,0,0,normal,0,0,0,0,1,1,0,1,0,0,0
143,0,0,normal,0,0,0,0,1,1,0,1,0,0,0
144,2,1,congested,1,1,1,1,1,1,1,1,1,1,1
145,1,1,onset,0,0,0,0,1,1,1,1,0,0,1
146,2,1,congested,1,1,1,1,1,1,1,1,1,1,1
147,0,0,normal,0,0,0,0,1,1,0,1,0,0,0
148,2,1,congested,1,1,1,1,1,1,1,1,1,1,1
149,2,1,congested,1,1,1,1,1,1,1,1,1,1,1
150,1,1,onset,0,0,0,0,1,1,1,1,0,0,1
151,1,1,onset,0,0,0,0,1,1,1,1,0,0,1
152,1,1,onset,0,0,0,0,1,1,1,1,0,0,1
153,1,1,onset,0,0,0,0,1,1,1,1,0,0,1
154,1,1,onset,0,0,0,0,1,1,1,1,0,0,1
155,1,1,onset,0,0,0,0,1,1,1,1,0,0,1
156,1,1,onset,0,0,0,0,1,1,1,1,0,0,1
157,2,1,congested,0,1,1,1,1,1,1,1,0,0,1
158,1,1,onset,0,0,0,0,1,1,1,1,0,0,1
159,0,0,normal,0,0,0,0,1,1,0,1,0,0,0
160,1,1,onset,0,0,0,0,1,1,1,1,0,0,1
161,1,1,onset,0,0,0,0,1,1,1,1,0,0,1
162,1,1,onset,0,0,0,0,1,1,1,1,0,0,1
163,2,1,congested,1,1,1,1,1,1,1,1,1,1,1
164,2,1,congested,1,1,1,1,1,1,1,1,1,1,1
165,2,1,congested,0,1,1,1,1,1,1,1,0,0,1
166,1,1,onset,0,0,0,0,1,1,1,1,0,0,1
167,2,1,congested,1,1,1,1,1,1,1,1,1,1,1
168,1,1,onset,0,0,0,0,1,1,1,1,0,0,1
169,0,0,normal,0,0,0,0,1,1,0,1,0,0,0
170,2,1,congested,1,1,1,1,1,1,1,1,1,1,1
171,1,1,onset,0,0,0,0,1,1,1,1,0,0,1
172,1,1,onset,0,0,0,0,1,1,1,1,0,0,1
173,1,1,onset,0,0,0,0,1,1,1,1,0,0,1
174,2,1,congested,1,1,1,1,1,1,1,1,1,1,1
175,0,0,normal,0,0,0,0,0,0,0,0,0,0,0
176,0,0,normal,0,0,0,0,0,0,1,0,0,1,1
177,0,0,normal,0,0,0,0,0,0,0,0,0,0,0
178,0,0,normal,0,0,0,0,0,0,0,0,0,1,1
179,0,0,normal,0,0,0,0,0,0,0,0,0,1,1
180,0,0,normal,0,0,0,0,0,0,1,0,0,0,1
181,1,1,onset,0,0,0,0,1,1,1,1,0,0,1
182,1,1,onset,0,0,0,0,1,1,1,1,0,0,1
183,0,0,normal,0,0,0,0,1,1,0,1,0,0,0
184,1,1,onset,0,0,0,0,1,1,1,1,0,0,1
185,2,1,congested,0,1,1,1,1,1,1,1,0,1,1
186,2,1,congested,1,1,1,1,1,1,0,1,1,1,1
187,2,1,congested,1,1,1,1,1,0,1,1,1,1,1
188,0,0,normal,0,0,0,0,0,0,1,0,0,1,1
189,0,0,normal,0,0,0,0,0,0,0,0,0,0,0
190,0,0,normal,0,0,0,0,0,0,0,0,0,0,0
191,0,0,normal,0,0,0,0,1,1,0,1,0,0,0
192,1,1,onset,0,0,0,0,1,1,1,1,0,0,1
193,1,1,onset,0,0,0,0,1,1,1,1,0,0,1
194,1,1,onset,0,0,0,0,1,1,1,1,0,0,1
195,1,1,onset,0,0,0,0,1,1,1,1,0,0,1
196,1,1,onset,0,0,0,0,1,1,1,1,0,0,1
197,2,1,congested,1,1,1,1,0,1,1,1,0,0,1
198,1,1,onset,0,0,0,0,1,1,1,1,0,0,1
199,1,1,onset,0,0,0,0,1,1,1,1,0,0,1
