time_bin,iperf_retransmits_sum,iperf_rtt_us_mean,iperf_rtt_us_max,iperf_rttvar_us_mean,iperf_cwnd_bytes_mean,iperf_mbps_sum,iperf_achieved_ratio_mean,iperf_achieved_ratio_min,iperf_active_flows,iperf_bytes_sum,iperf_target_bw_sum,ping_rtt_ms_mean,ping_rtt_ms_max,ping_rtt_ms_std,ping_count,qdisc_backlog_pkt_max,qdisc_backlog_bytes_max,qdisc_drop_ratio_max,qdisc_dropped_delta_sum,qdisc_overlimit_delta_sum,qdisc_overlimit_rate_sum,qdisc_throughput_mbps_sum,qdisc_util_pct_max,qdisc_sent_pkt_delta_sum,rtt_relative_iperf,rtt_relative_ping,retransmit_rate,queue_fill_ratio,host_delivery_ratio,iperf_achieved_ratio_capped,hf_A_retx_iperf,hf_A_retx_host,hf_A_lost_host,hf_A_loss,hf_B_rtt_iperf,hf_B_rtt_ping,hf_B_rttvar,hf_B_latency,hf_C_bw_iperf,hf_C_delivery_ss,hf_C_throughput,is_observable,congestion_state,congestion_binary,congestion_label
0,0.0,120000.0,,,,,,,0.0,,,120.5,121.0,0.7071067811865476,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0041666666666667,0.0,0.0,,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,normal
1,0.0,120000.0,,,,,,,0.0,,,120.0,120.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.01,12.0,1.0,1.0,0.0,0.0,,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,normal
2,0.0,120000.0,,,,,,,0.0,,,120.0,120.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032,0.0,4.0,1.0,1.0,0.0,0.0,,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,normal
3,0.0,120000.0,,,,,,,0.0,,,120.0,120.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032,0.0,4.0,1.0,1.0,0.0,0.0,,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,normal
4,4.0,123468.0,123468.0,3985.0,4344.0,0.0,0.0,0.0,1.0,0.0,1.01,120.0,120.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032,0.0,4.0,1.0289,1.0,1.0,0.0,,0.0,1,0,0,1,0,0,1,0,1,0,1,1,2,1,congested
5,1.0,127056.0,127056.0,9854.0,5792.0,1.0487,1.0383168316831684,1.0383168316831684,1.0,131072.0,1.01,120.0,120.0,,1.0,2.0,112.0,0.0,0.0,0.0,0.0,0.0042,0.01,6.0,1.0588,1.0,0.16666666666666666,0.2,,1.0383168316831684,1,0,0,1,0,0,1,0,0,0,1,1,2,1,congested
6,1.0,124895.0,124895.0,8304.0,11584.0,1.0486,1.0382178217821783,1.0382178217821783,1.0,131072.0,1.01,122.0,122.0,,1.0,2.0,3028.0,0.136364,6.0,2.0,1.9998,0.15860000000000002,0.28,72.0,1.0407916666666666,1.0166666666666666,0.013888888888888888,0.2,,1.0382178217821783,1,0,0,1,0,0,1,0,0,0,1,1,2,1,congested
7,2.0,131137.0,131137.0,16287.0,8688.0,0.0,0.0,0.0,1.0,0.0,1.01,120.0,120.0,,1.0,4.0,6056.0,0.027778,2.0,22.0,21.9975,0.8597999999999999,1.65,132.0,1.0928083333333334,1.0,0.015151515151515152,0.4,,0.0,1,0,0,1,1,0,1,1,1,0,1,1,2,1,congested
8,1.0,126062.0,126062.0,9957.0,10136.0,1.0486,1.0382178217821783,1.0382178217821783,1.0,131072.0,1.01,120.0,120.0,,1.0,3.0,4542.0,0.020833,2.0,27.0,26.9957,1.1478,2.23,152.0,1.0505166666666668,1.0,0.006578947368421052,0.3,,1.0382178217821783,1,0,0,1,0,0,1,0,0,0,1,1,2,1,congested
9,1.0,127321.0,127321.0,10364.0,10136.0,0.0,0.0,0.0,1.0,0.0,1.01,120.0,120.0,,1.0,1.0,66.0,0.016129,2.0,33.0,32.9971,1.4946000000000002,2.91,194.0,1.0610083333333333,1.0,0.005154639175257732,0.1,,0.0,1,0,0,1,0,0,1,0,1,0,1,1,2,1,congested
