flow_id,target_bw_mbps,scheduled_flow_start_s,interval_index,absolute_time_s,interval_start_s,interval_end_s,bytes_transferred,bits_per_second,mbps_achieved,retransmits,snd_cwnd_bytes,pmtu,rtt_us,rttvar_us,omitted,cpu_utilization_local_pct,cpu_utilization_remote_pct,congestion_algorithm,max_snd_cwnd_bytes
0,1.01,3.58,0,4.08,0.0,1.0,0,0,0.0,4,4344,1500,123468,3985,False,1.2438982381658117,0.0596033946610822,reno,14480.0
0,1.01,3.58,1,5.08,1.0,2.0,131072,1048728,1.0487,1,5792,1500,127056,9854,False,1.2438982381658117,0.0596033946610822,reno,14480.0
0,1.01,3.58,2,6.08,2.0,3.0,131072,1048616,1.0486,1,11584,1500,124895,8304,False,1.2438982381658117,0.0596033946610822,reno,14480.0
0,1.01,3.58,3,7.08,3.0,4.0,0,0,0.0,2,8688,1500,131137,16287,False,1.2438982381658117,0.0596033946610822,reno,14480.0
0,1.01,3.58,4,8.08,4.0,5.0,131072,1048592,1.0486,1,10136,1500,126062,9957,False,1.2438982381658117,0.0596033946610822,reno,14480.0
0,1.01,3.58,5,9.08,5.0,6.0,0,0,0.0,1,10136,1500,127321,10364,False,1.2438982381658117,0.0596033946610822,reno,14480.0
0,1.01,3.58,6,10.08,6.0,7.0,131072,1048595,1.0486,1,10136,1500,127967,9746,False,1.2438982381658117,0.0596033946610822,reno,14480.0
0,1.01,3.58,7,11.08,7.0,8.0,0,0,0.0,1,13032,1500,129123,15022,False,1.2438982381658117,0.0596033946610822,reno,14480.0
0,1.01,3.58,8,12.08,8.0,9.0,131072,1048537,1.0485,1,11584,1500,131894,18290,False,1.2438982381658117,0.0596033946610822,reno,14480.0
0,1.01,3.58,9,13.08,9.0,10.0,0,0,0.0,1,13032,1500,132806,18026,False,1.2438982381658117,0.0596033946610822,reno,14480.0
0,1.01,3.58,10,14.08,10.0,11.0,131072,1048658,1.0487,2,11584,1500,130747,12315,False,1.2438982381658117,0.0596033946610822,reno,14480.0
0,1.01,3.58,11,15.08,11.0,12.0,131072,1048605,1.0486,2,4344,1500,125535,9422,False,1.2438982381658117,0.0596033946610822,reno,14480.0
1,1.37,15.57,0,16.07,0.0,1.0,0,0,0.0,4,4344,1500,123511,4253,False,1.079560532299393,0.0385070948867097,reno,11584.0
0,1.01,3.58,12,16.08,12.0,13.0,0,0,0.0,1,5792,1500,134257,20720,False,1.2438982381658117,0.0596033946610822,reno,14480.0
2,1.04,16.49,0,16.99,0.0,1.0,0,0,0.0,5,7240,1500,121507,4367,False,1.066944846122149,0.0382156688733938,reno,14480.0
1,1.37,15.57,1,17.07,1.0,2.0,131072,1048555,1.0486,3,7240,1500,125380,7417,False,1.079560532299393,0.0385070948867097,reno,11584.0
0,1.01,3.58,13,17.08,13.0,14.0,0,0,0.0,1,5792,1500,125107,7529,False,1.2438982381658117,0.0596033946610822,reno,14480.0
2,1.04,16.49,1,17.99,1.0,2.0,0,0,0.0,6,1448,1500,121000,1883,False,1.066944846122149,0.0382156688733938,reno,14480.0
1,1.37,15.57,2,18.07,2.0,3.0,0,0,0.0,3,2896,1500,124839,8117,False,1.079560532299393,0.0385070948867097,reno,11584.0
0,1.01,3.58,14,18.08,14.0,15.0,131072,1048494,1.0485,1,8688,1500,138832,23851,False,1.2438982381658117,0.0596033946610822,reno,14480.0
2,1.04,16.49,2,18.99,2.0,3.0,0,0,0.0,2,5792,1500,128414,14883,False,1.066944846122149,0.0382156688733938,reno,14480.0
1,1.37,15.57,3,19.07,3.0,4.0,0,0,0.0,1,5792,1500,133936,20980,False,1.079560532299393,0.0385070948867097,reno,11584.0
0,1.01,3.58,15,19.08,15.0,16.0,0,0,0.0,2,10136,1500,129004,14867,False,1.2438982381658117,0.0596033946610822,reno,14480.0
2,1.04,16.49,3,19.99,3.0,4.0,131072,1048560,1.0486,4,5792,1500,129655,15951,False,1.066944846122149,0.0382156688733938,reno,14480.0
1,1.37,15.57,4,20.07,4.0,5.0,131072,1048674,1.0487,3,8688,1500,139429,27023,False,1.079560532299393,0.0385070948867097,reno,11584.0
0,1.01,3.58,16,20.08,16.0,17.0,131072,1048652,1.0487,4,2896,1500,120975,1582,False,1.2438982381658117,0.0596033946610822,reno,14480.0
