timestamp_s,interface,qdisc_kind,handle,poll_interval_s,sent_bytes_total,sent_packets_total,dropped_total,overlimits_total,backlog_bytes,backlog_packets,sent_bytes_delta,sent_packets_delta,dropped_delta,overlimits_delta,throughput_mbps,link_utilization_pct,drop_rate_pps,overlimit_rate_pps,drop_ratio
0.014,s1-eth1,htb,5,1.0,348,4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
0.014,s1-eth1,netem,10,1.0,348,4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
0.014,s1-eth2,htb,5,1.0,348,4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
0.014,s1-eth2,netem,10,1.0,348,4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
1.022,s1-eth1,htb,5,1.008,598,7,0,0,0,0,250,3,0,0,0.002,0.01,0.0,0.0,0.0
1.022,s1-eth1,netem,10,1.008,598,7,0,0,0,0,250,3,0,0,0.002,0.01,0.0,0.0,0.0
1.022,s1-eth2,htb,5,1.008,598,7,0,0,0,0,250,3,0,0,0.002,0.01,0.0,0.0,0.0
1.022,s1-eth2,netem,10,1.008,598,7,0,0,0,0,250,3,0,0,0.002,0.01,0.0,0.0,0.0
2.022,s1-eth1,htb,5,1.0,696,8,0,0,0,0,98,1,0,0,0.0008,0.0,0.0,0.0,0.0
2.022,s1-eth1,netem,10,1.0,696,8,0,0,0,0,98,1,0,0,0.0008,0.0,0.0,0.0,0.0
2.022,s1-eth2,htb,5,1.0,696,8,0,0,0,0,98,1,0,0,0.0008,0.0,0.0,0.0,0.0
2.022,s1-eth2,netem,10,1.0,696,8,0,0,0,0,98,1,0,0,0.0008,0.0,0.0,0.0,0.0
3.022,s1-eth1,htb,5,1.0,794,9,0,0,0,0,98,1,0,0,0.0008,0.0,0.0,0.0,0.0
3.022,s1-eth1,netem,10,1.0,794,9,0,0,0,0,98,1,0,0,0.0008,0.0,0.0,0.0,0.0
3.022,s1-eth2,htb,5,1.0,794,9,0,0,0,0,98,1,0,0,0.0008,0.0,0.0,0.0,0.0
3.022,s1-eth2,netem,10,1.0,794,9,0,0,0,0,98,1,0,0,0.0008,0.0,0.0,0.0,0.0
4.023,s1-eth1,htb,5,1.0,892,10,0,0,0,0,98,1,0,0,0.0008,0.0,0.0,0.0,0.0
4.023,s1-eth1,netem,10,1.0,892,10,0,0,0,0,98,1,0,0,0.0008,0.0,0.0,0.0,0.0
4.023,s1-eth2,htb,5,1.0,892,10,0,0,0,0,98,1,0,0,0.0008,0.0,0.0,0.0,0.0
4.023,s1-eth2,netem,10,1.0,892,10,0,0,0,0,98,1,0,0,0.0008,0.0,0.0,0.0,0.0
5.023,s1-eth1,htb,5,1.0,990,11,0,0,112,2,98,1,0,0,0.0008,0.0,0.0,0.0,0.0
5.023,s1-eth1,netem,10,1.0,990,11,0,0,112,2,98,1,0,0,0.0008,0.0,0.0,0.0,0.0
5.023,s1-eth2,htb,5,1.0,1060,12,0,0,0,0,168,2,0,0,0.0013,0.01,0.0,0.0,0.0
5.023,s1-eth2,netem,10,1.0,1060,12,0,0,0,0,168,2,0,0,0.0013,0.01,0.0,0.0,0.0
6.023,s1-eth1,htb,5,1.0,2168,28,0,0,0,0,1178,17,0,0,0.0094,0.04,0.0,0.0,0.0
6.023,s1-eth1,netem,10,1.0,2168,28,0,0,0,0,1178,17,0,0,0.0094,0.04,0.0,0.0,0.0
6.023,s1-eth2,htb,5,1.0,9800,31,3,2,3028,2,8740,19,3,2,0.0699,0.28,2.9997,1.9998,0.136364
6.023,s1-eth2,netem,10,1.0,9800,31,3,0,3028,2,8740,19,3,0,0.0699,0.28,2.9997,0.0,0.136364
7.023,s1-eth1,htb,5,1.0,4342,59,0,0,66,1,2174,31,0,0,0.0174,0.07,0.0,0.0,0.0
7.023,s1-eth1,netem,10,1.0,4342,59,0,0,66,1,2174,31,0,0,0.0174,0.07,0.0,0.0,0.0
7.023,s1-eth2,htb,5,1.0,61374,66,4,24,6056,4,51574,35,1,22,0.4125,1.65,0.9999,21.9975,0.027778
7.023,s1-eth2,netem,10,1.0,61374,66,4,0,6056,4,51574,35,1,0,0.4125,1.65,0.9999,0.0,0.027778
8.023,s1-eth1,htb,5,1.0,6360,88,0,0,132,2,2018,29,0,0,0.0161,0.06,0.0,0.0,0.0
8.023,s1-eth1,netem,10,1.0,6360,88,0,0,132,2,2018,29,0,0,0.0161,0.06,0.0,0.0,0.0
8.023,s1-eth2,htb,5,1.0,131116,113,5,51,4542,3,69742,47,1,27,0.5578,2.23,0.9998,26.9957,0.020833
8.023,s1-eth2,netem,10,1.0,131116,113,5,0,4542,3,69742,47,1,0,0.5578,2.23,0.9998,0.0,0.020833
9.023,s1-eth1,htb,5,1.0,8852,124,0,0,66,1,2492,36,0,0,0.0199,0.08,0.0,0.0,0.0
